Date : 2024-06-22 21:07:44
Directory : d:\Learn\20232_DATN\Code\Frontend\src
Total : 131 files,  6097 codes, 156 comments, 899 blanks, all 7152 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| d:\Learn\20232_DATN\Code\Frontend\src\pages\forbidden.jsx                             | JavaScript JSX |         12 |          1 |          4 |         17 |
| d:\Learn\20232_DATN\Code\Frontend\src\pages\login.jsx                                 | JavaScript JSX |         12 |          1 |          5 |         18 |
| d:\Learn\20232_DATN\Code\Frontend\src\pages\order.jsx                                 | JavaScript JSX |         12 |          1 |          5 |         18 |
| d:\Learn\20232_DATN\Code\Frontend\src\pages\page-not-found.jsx                        | JavaScript JSX |         12 |          1 |          5 |         18 |
| d:\Learn\20232_DATN\Code\Frontend\src\pages\product-detail.jsx                        | JavaScript JSX |         12 |          1 |          5 |         18 |
| d:\Learn\20232_DATN\Code\Frontend\src\pages\product-manage.jsx                        | JavaScript JSX |         12 |          1 |          5 |         18 |
| d:\Learn\20232_DATN\Code\Frontend\src\pages\products.jsx                              | JavaScript JSX |         12 |          1 |          5 |         18 |
| d:\Learn\20232_DATN\Code\Frontend\src\pages\profile.jsx                               | JavaScript JSX |         12 |          1 |          5 |         18 |
| d:\Learn\20232_DATN\Code\Frontend\src\pages\signup.jsx                                | JavaScript JSX |         12 |          0 |          3 |         15 |
| d:\Learn\20232_DATN\Code\Frontend\src\pages\user.jsx                                  | JavaScript JSX |         12 |          1 |          5 |         18 |
| d:\Learn\20232_DATN\Code\Frontend\src\redux\action.js                                 | JavaScript     |         17 |          0 |          2 |         19 |
| d:\Learn\20232_DATN\Code\Frontend\src\redux\reducer.js                                | JavaScript     |         16 |          0 |          4 |         20 |
| d:\Learn\20232_DATN\Code\Frontend\src\redux\store.js                                  | JavaScript     |          5 |          0 |          4 |          9 |
| d:\Learn\20232_DATN\Code\Frontend\src\routes\components\index.js                      | JavaScript     |          1 |          0 |          1 |          2 |
| d:\Learn\20232_DATN\Code\Frontend\src\routes\components\router-link.jsx               | JavaScript JSX |          8 |          1 |          5 |         14 |
| d:\Learn\20232_DATN\Code\Frontend\src\routes\hooks\index.js                           | JavaScript     |          2 |          0 |          1 |          3 |
| d:\Learn\20232_DATN\Code\Frontend\src\routes\hooks\use-pathname.js                    | JavaScript     |          6 |          1 |          4 |         11 |
| d:\Learn\20232_DATN\Code\Frontend\src\routes\hooks\use-router.js                      | JavaScript     |         16 |          1 |          5 |         22 |
| d:\Learn\20232_DATN\Code\Frontend\src\routes\protected\index.js                       | JavaScript     |          1 |          0 |          0 |          1 |
| d:\Learn\20232_DATN\Code\Frontend\src\routes\protected\protected-route.jsx            | JavaScript JSX |          7 |          0 |          1 |          8 |
| d:\Learn\20232_DATN\Code\Frontend\src\routes\sections.jsx                             | JavaScript JSX |         83 |          1 |          6 |         90 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\cart\Information.css                   | CSS            |         14 |          1 |          2 |         17 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\cart\cart-table.jsx                    | JavaScript JSX |         65 |          1 |          2 |         68 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\cart\cartview.css                      | CSS            |         52 |          0 |         11 |         63 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\cart\information.jsx                   | JavaScript JSX |         16 |          0 |          2 |         18 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\cart\order-button.jsx                  | JavaScript JSX |         14 |          1 |          2 |         17 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\cart\view\cart-view.jsx                | JavaScript JSX |        163 |          0 |         17 |        180 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\cart\view\index.js                     | JavaScript     |          1 |          0 |          0 |          1 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\dashboard\view\index.js                | JavaScript     |          1 |          0 |          0 |          1 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\dashboard\view\overview.jsx            | JavaScript JSX |        145 |          1 |          9 |        155 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\error\forbidden.jsx                    | JavaScript JSX |         62 |          1 |         10 |         73 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\error\index.js                         | JavaScript     |          2 |          0 |          0 |          2 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\error\not-found-view.jsx               | JavaScript JSX |         62 |          1 |         10 |         73 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\login\index.js                         | JavaScript     |          1 |          0 |          0 |          1 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\login\login-view.jsx                   | JavaScript JSX |        186 |          1 |         33 |        220 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\order\admin-table.jsx                  | JavaScript JSX |        148 |          1 |         11 |        160 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\order\detail-table.jsx                 | JavaScript JSX |         18 |          0 |          1 |         19 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\order\table.jsx                        | JavaScript JSX |        138 |          1 |         11 |        150 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\order\view\index.js                    | JavaScript     |          1 |          0 |          0 |          1 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\order\view\order-view.jsx              | JavaScript JSX |         53 |          1 |          6 |         60 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\product-detail\view\index.js           | JavaScript     |          1 |          0 |          1 |          2 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\product-detail\view\product.jsx        | JavaScript JSX |        231 |          1 |         19 |        251 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\product-manage\detail-table.jsx        | JavaScript JSX |        102 |          1 |         11 |        114 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\product-manage\table.jsx               | JavaScript JSX |        188 |          1 |         11 |        200 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\product-manage\utils.js                | JavaScript     |         49 |          0 |          8 |         57 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\product-manage\view\index.js           | JavaScript     |          1 |          0 |          0 |          1 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\product-manage\view\manager-view.jsx   | JavaScript JSX |        191 |          1 |         13 |        205 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\products\product-card.jsx              | JavaScript JSX |         90 |          5 |         16 |        111 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\products\product-cart-widget.jsx       | JavaScript JSX |         35 |          2 |          6 |         43 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\products\product-filters.jsx           | JavaScript JSX |        181 |          2 |         21 |        204 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\products\product-sort.jsx              | JavaScript JSX |         59 |          1 |         10 |         70 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\products\view\index.js                 | JavaScript     |          1 |          0 |          1 |          2 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\products\view\products-view.jsx        | JavaScript JSX |         75 |          1 |         14 |         90 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\signup\index.js                        | JavaScript     |          1 |          0 |          0 |          1 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\signup\signup-view.jsx                 | JavaScript JSX |        185 |          1 |         26 |        212 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\user-detail\account-profile-detail.jsx | JavaScript JSX |          0 |          0 |          1 |          1 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\user-detail\account-profile.jsx        | JavaScript JSX |          0 |          0 |          1 |          1 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\user-detail\view\index.js              | JavaScript     |          1 |          0 |          0 |          1 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\user-detail\view\user-view.jsx         | JavaScript JSX |        182 |          2 |         12 |        196 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\user\table-empty-rows.jsx              | JavaScript JSX |         23 |          1 |          6 |         30 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\user\table-no-data.jsx                 | JavaScript JSX |         30 |          1 |          6 |         37 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\user\user-table-head.jsx               | JavaScript JSX |         65 |          1 |          8 |         74 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\user\user-table-row.jsx                | JavaScript JSX |        113 |          1 |         18 |        132 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\user\user-table-toolbar.jsx            | JavaScript JSX |         62 |          1 |          7 |         70 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\user\utils.js                          | JavaScript     |         49 |          0 |          8 |         57 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\user\view\index.js                     | JavaScript     |          1 |          0 |          1 |          2 |
| d:\Learn\20232_DATN\Code\Frontend\src\sections\user\view\user-view.jsx                | JavaScript JSX |        182 |          1 |         30 |        213 |
| d:\Learn\20232_DATN\Code\Frontend\src\theme\css.js                                    | JavaScript     |        130 |          6 |         17 |        153 |
| d:\Learn\20232_DATN\Code\Frontend\src\theme\custom-shadows.js                         | JavaScript     |         23 |          3 |          5 |         31 |
| d:\Learn\20232_DATN\Code\Frontend\src\theme\index.jsx                                 | JavaScript JSX |         32 |          2 |          9 |         43 |
| d:\Learn\20232_DATN\Code\Frontend\src\theme\overrides.js                              | JavaScript     |        143 |          1 |          3 |        147 |
| d:\Learn\20232_DATN\Code\Frontend\src\theme\palette.js                                | JavaScript     |        106 |          3 |         15 |        124 |
| d:\Learn\20232_DATN\Code\Frontend\src\theme\shadows.js                                | JavaScript     |         34 |          1 |          5 |         40 |
| d:\Learn\20232_DATN\Code\Frontend\src\theme\typography.js                             | JavaScript     |         99 |          2 |          7 |        108 |
| d:\Learn\20232_DATN\Code\Frontend\src\utils\format-number.js                          | JavaScript     |         24 |          1 |         13 |         38 |
| d:\Learn\20232_DATN\Code\Frontend\src\utils\format-time.js                            | JavaScript     |         19 |          1 |          8 |         28 |
| d:\Learn\20232_DATN\Code\Frontend\src\utils\jwt.js                                    | JavaScript     |          7 |          0 |          3 |         10 |
| Total                                                                                 |                |      6,097 |        156 |        899 |      7,152 |
+---------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
